feature,importance_mean,importance_std
Fp1_theta_beta_ratio,0.0023325176159288974,0.0007786773335811681
O1_energy,0.002270252361497438,0.003516109178420764
P8_std,0.002193923926724117,0.001631874933359174
O2_min,0.0021660730594182053,0.002058226347949936
C3_std,0.002138551159496527,0.0013615810905089798
F8_mean,0.002120531695570116,0.0016333383966796243
F7_iqr,0.0020163846117074004,0.004219085135126407
O2_var,0.001992483405777601,0.0012506272706182897
P7_theta_abs_power,0.0019869671899791054,0.0021921095072471876
T7_energy,0.001749915369668864,0.0016155220336279506
C4_delta_abs_power,0.001749915369668864,0.0016155220336279503
Fp2_theta_beta_ratio,0.001748861054224482,0.000582953684741494
F8_beta_abs_power,0.0016117557333475752,0.0008058778666737876
Fp1_delta_abs_power,0.0015548945977921114,0.0011666105111208353
F7_gamma_rel_power,0.0015545431593106506,0.0007772715796553253
F7_var,0.0015545431593106506,0.0007772715796553253
C4_iqr,0.0015545431593106506,0.0007772715796553253
P7_mean,0.0015545431593106506,0.0007772715796553253
C3_theta_beta_ratio,0.0015545431593106506,0.0007772715796553253
Cz_alpha_abs_power,0.001547813156583988,0.001929741231627011
C3_energy,0.0015396727568488422,0.0031236082079335414
P4_gamma_abs_power,0.0014351051272924464,0.0021814766610606514
F7_q75,0.0014137543485193693,0.005016083985396901
T7_theta_abs_power,0.0014102862666791282,0.0009232490812305404
F4_std,0.001381330652561108,0.0017860964866620345
O2_mean,0.0013619824851941575,0.0021395944641524316
C4_q25,0.0013616256738397281,0.0019536496408381543
Fz_mean,0.00136057670287828,0.001244955375765794
O2_range,0.0013602252643968194,0.0008904764623271065
T7_delta_abs_power,0.0013471137048655323,0.0012691358864348763
Pz_range,0.0013447569170198293,0.0015065161267953815
O1_alpha_rel_power,0.0012584621327332735,0.0015991078653300418
F4_gamma_abs_power,0.0012214327732992692,0.0033124314884321097
Fp2_delta_rel_power,0.0012092283931658954,0.0013372662432600208
Fz_q75,0.0012088168000106813,0.0009869947841767161
Fp2_energy,0.0011730589412376035,0.0009580210825270688
P8_mean,0.0011666049019629754,0.0015544666127911859
P8_gamma_abs_power,0.0011662534634815148,0.0012881244327636336
F7_delta_abs_power,0.001165907369482988,0.0009519593808612988
C4_alpha_rel_power,0.001165907369482988,0.0009519593808612986
Cz_delta_rel_power,0.001165907369482988,0.0009519593808612986
Cz_mean,0.0010834611419560992,0.006024941245305413
T7_range,0.001081678155383381,0.0042582697797260965
Pz_q25,0.0010388781453323447,0.0015966706087216036
P8_gamma_rel_power,0.001023165851158947,0.0020438111841478857
P3_q75,0.0009855143452568772,0.0013241349235295677
C4_std,0.0009715894745691567,0.0009715894745691567
Fp1_std,0.0009715894745691567,0.0009715894745691567
O2_gamma_abs_power,0.0009608118087235607,0.0018382240352704327
Fz_median,0.0009528124795483261,0.002530636244192111
P4_beta_abs_power,0.0008377848639379959,0.0022062066611945345
Pz_theta_rel_power,0.0007923880343209899,0.0015993651075270874
O1_range,0.0007779691121353127,0.0015546409947171352
O1_beta_rel_power,0.0007772715796553253,0.0009519593808612986
Fp1_var,0.0007772715796553253,0.0009519593808612986
C4_spectral_entropy,0.0007709043733351906,0.0009573346497884742
P3_rms,0.0007708786649256339,0.0015671312410138539
F3_spectral_entropy,0.0007705272264441731,0.0013032729122122175
P8_delta_abs_power,0.0007528613321792776,0.0017950023240767125
F8_min,0.0006044084000053407,0.0009232490812305404
Cz_beta_abs_power,0.0005923379613142598,0.0038775305562679394
C3_range,0.000582953684741494,0.0008904764623271066
T8_min,0.000582953684741494,0.0008904764623271066
Cz_theta_rel_power,0.000582953684741494,0.0008904764623271066
C3_var,0.000582953684741494,0.0008904764623271066
P3_iqr,0.000582953684741494,0.0008904764623271066
P7_spectral_entropy,0.000582953684741494,0.0008904764623271066
C3_q75,0.000582953684741494,0.0008904764623271066
C4_theta_abs_power,0.0005705686034121471,0.002165966534410322
T7_min,0.0005698421252102071,0.0012610802563911554
P4_theta_rel_power,0.0005634749188900723,0.001264098449357773
F4_alpha_abs_power,0.0005507405062498028,0.0012700175569609555
P4_alpha_rel_power,0.0005327210423233919,0.001539354687344381
C3_beta_rel_power,0.00041043659909003607,0.0011939391833844484
Cz_std,0.0004029389333368938,0.0008058778666737876
P7_gamma_rel_power,0.0003893279778247161,0.001453032239160288
T8_std,0.00038863578982766266,0.0007772715796553253
O2_gamma_rel_power,0.00038863578982766266,0.0007772715796553253
P7_delta_rel_power,0.00038863578982766266,0.0007772715796553253
F7_beta_rel_power,0.0003822685835075279,0.000780682412317093
C3_rms,0.0003818914366165105,0.0011794924905916043
P8_alpha_rel_power,0.0003763085957308565,0.001193545679472637
P7_delta_abs_power,0.00036877987708522353,0.0014776011434725542
P3_energy,0.00036241267076508876,0.0014793127479226763
P3_theta_abs_power,0.00035758401839817153,0.0019449378584387098
T7_theta_beta_ratio,0.0003436881986957019,0.001192205731314735
O2_q75,0.00022468474320050947,0.0016352924358689466
O2_beta_abs_power,0.00020931322642011584,0.0013777091591054076
P3_q25,0.0002014694666684469,0.0006044084000053407
Pz_alpha_rel_power,0.0002014694666684469,0.0006044084000053408
P4_rms,0.0002014694666684469,0.0006044084000053407
O1_theta_abs_power,0.0002014694666684469,0.0006044084000053407
P4_max,0.0002014694666684469,0.0006044084000053407
P4_std,0.0002014694666684469,0.0006044084000053407
P7_theta_beta_ratio,0.0001962016668888289,0.0016387982157540803
P4_gamma_rel_power,0.00019501008291088472,0.0013591378101877325
